id	path	symbol	line	file_sha256
C23	v2/core/src/store.ts	createSeal	3320	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C23	v2/core/src/store.ts	listQuestions	3303	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C23	v2/core/src/store.ts	listSeals	3350	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C24	v2/core/src/packages.ts	importLocalConfig	389	e14a3c6c013211235ca84c137a93f12ead10beff01c876c2741a7e419b944f17
C24	v2/core/src/packages.ts	importTemplate	228	e14a3c6c013211235ca84c137a93f12ead10beff01c876c2741a7e419b944f17
C24	v2/core/src/packages.ts	importTrack	239	e14a3c6c013211235ca84c137a93f12ead10beff01c876c2741a7e419b944f17
C24	v2/core/src/store.ts	putTemplate	3101	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C24	v2/core/src/store.ts	putTrack	3168	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C25	v2/core/src/store.ts	auditRows	4223	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C25	v2/core/src/store.ts	auditTail	4239	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C26	v2/core/src/audit.ts	replayAudit	27	ad41ca1ce64dea003c5086d2135f48b341a0aef6f17f8b059e54658a44021f54
C26	v2/core/src/store.ts	dumpState	4253	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C27	v2/core/src/store.ts	recordNamingUsage	3720	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C27	v2/core/src/store.ts	namingUsageSummary	3790	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C28	v2/core/src/store.ts	CoreStore.constructor	1001	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C28	v2/core/src/store.ts	close	1047	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C28	v2/core/src/schema.ts	SCHEMA_SQL	148	ff2c98154659e149b4922c21046c033fd70fbcc67848759d72671377bcf21a07
C29	v2/daemon/src/daemon.ts	rpcFork	1762	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
C29	v2/daemon/src/daemon.ts	rpcChildren	1809	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
C29	v2/core/src/store.ts	listChildren	1548	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
C29	v2/core/src/store.ts	recordFork	2163	035a7fa5af24129f5fb6224b46944a5939b7de5f0afc91784513271f8607cca3
D01	v2/daemon/src/daemon.ts	scheduleTick	620	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
D01	v2/daemon/src/daemon.ts	nextTickDelayMs	332	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
D01	v2/daemon/src/daemon.ts	tickProfiled	640	edfdc5756a1be5682e436b6e45e3fc3d2118de379b94bcfe12bee7f00aae34be
