"scenario","metric","before","after","deltaPercent","beforeP95","afterP95","n","pairedDeltaP50","pairsAfterLower","beforeImplementation","afterImplementation","beforeEntrySha256","afterEntrySha256"
"runner-host","hostReadyMs","1938.6826669999864","1470.4081250000163","-24.1542646442804","4638.229500000001","2729.6907500000016","15","-480.1581249999872","11","baseline-cli","dedicated-host","c09e1efcb7e449bf20a3db053c7f8903ffd68f81345e84fe66ff83ea76de5a6e","e9e1e934dbaf1043e013278b29f12e61161bc19ebe282919405d6e4353b3ab23"
"runner-host","agentReadyMs","2936.563500000004","3310.1225409999897","12.720959073419834","7687.470499999996","5572.621291999996","15","-416.03216600001906","11","baseline-cli","dedicated-host","c09e1efcb7e449bf20a3db053c7f8903ffd68f81345e84fe66ff83ea76de5a6e","e9e1e934dbaf1043e013278b29f12e61161bc19ebe282919405d6e4353b3ab23"
"runner-host","hostRssBytes","60981248","49971200","-18.054809242342827","61227008","50216960","15","-10977280","15","baseline-cli","dedicated-host","c09e1efcb7e449bf20a3db053c7f8903ffd68f81345e84fe66ff83ea76de5a6e","e9e1e934dbaf1043e013278b29f12e61161bc19ebe282919405d6e4353b3ab23"
"runner-host","hostCpuToReadyMs","390","280","-28.205128205128204","440","320","15","-100","15","baseline-cli","dedicated-host","c09e1efcb7e449bf20a3db053c7f8903ffd68f81345e84fe66ff83ea76de5a6e","e9e1e934dbaf1043e013278b29f12e61161bc19ebe282919405d6e4353b3ab23"
"runner-host","idleCpuOneCorePercent","0","0",,"0","0","15","0","0","baseline-cli","dedicated-host","c09e1efcb7e449bf20a3db053c7f8903ffd68f81345e84fe66ff83ea76de5a6e","e9e1e934dbaf1043e013278b29f12e61161bc19ebe282919405d6e4353b3ab23"
"runner-host","hostRssAfterIdleBytes","60981248","49971200","-18.054809242342827","61227008","50216960","15","-10977280","15","baseline-cli","dedicated-host","c09e1efcb7e449bf20a3db053c7f8903ffd68f81345e84fe66ff83ea76de5a6e","e9e1e934dbaf1043e013278b29f12e61161bc19ebe282919405d6e4353b3ab23"
