scenario,metric,unit,before,after,deltaPercent,beforeP95,afterP95,n
core-10x1,view.all.wall,ms,0.27354099999979553,0.27329199999985576,-0.09102840157050318,0.3894999999999982,1.1986669999998867,30
core-10x1,view.all.cpu,ms,0.278,0.278,0,0.364,0.59,30
core-10x1,view.active.wall,ms,0.17916700000000674,0.051250000000209184,-71.39540205495027,0.765833000000157,0.1517910000000029,30
core-10x1,view.active.cpu,ms,0.201,0.053,-73.6318407960199,1.186,0.487,30
core-10x1,view.one.wall,ms,0.07662500000014916,0.07466699999986304,-2.5553017948219403,0.38741699999991397,0.2560840000001008,30
core-10x1,view.one.cpu,ms,0.078,0.076,-2.564102564102566,0.195,0.187,30
core-10x1,core.quietStep.wall,ms,0.5360410000000684,0.5642499999999018,5.26247059456828,1.7973749999998745,1.827541999999994,30
core-10x1,core.quietStep.cpu,ms,0.519,0.567,9.248554913294793,1.744,1.631,30
core-1000x1,view.all.wall,ms,25.707750000000033,25.093332999999802,-2.3900069045335703,31.79975000000013,32.493832999999995,30
core-1000x1,view.all.cpu,ms,20.863,20.109,-3.614053587691113,32.097,25.276,30
core-1000x1,view.active.wall,ms,21.613875000000007,3.110541999999441,-85.60858707659112,25.90099999999984,6.579665999999634,30
core-1000x1,view.active.cpu,ms,18.291,2.663,-85.44092723197201,21.17,3.404,30
core-1000x1,view.one.wall,ms,0.14133299999957671,0.13583400000061374,-3.8908110625115455,0.29575000000022555,0.8710000000000946,30
core-1000x1,view.one.cpu,ms,0.137,0.138,0.7299270072992803,0.213,0.317,30
core-1000x1,core.quietStep.wall,ms,25.54054200000064,26.01337500000045,1.8513037037342306,31.444416999999703,30.747999999999593,30
core-1000x1,core.quietStep.cpu,ms,20.01,20.276,1.3293353323338142,23.981,23.805,30
core-1000x20,view.all.wall,ms,31.507582999998704,33.460040999998455,6.196787611413512,44.1461249999993,43.475500000000466,30
core-1000x20,view.all.cpu,ms,27.578,26.252,-4.808180433679022,32.29,32.592,30
core-1000x20,view.active.wall,ms,33.51958399999785,10.61108299999978,-68.34363159160787,77.07520800000202,15.290667000001122,30
core-1000x20,view.active.cpu,ms,25.73,8.891,-65.4450058297707,34.528,10.98,30
core-1000x20,view.one.wall,ms,0.12654100000145263,0.09762500000215368,-22.851091740200413,1.2718749999985448,0.7387920000001031,30
core-1000x20,view.one.cpu,ms,0.123,0.099,-19.512195121951216,0.352,0.253,30
core-1000x20,core.quietStep.wall,ms,33.3269999999975,32.332625000002736,-2.983691901445784,42.189917000003334,43.77929199999926,30
core-1000x20,core.quietStep.cpu,ms,27.799,27.689,-0.3956976869671558,33.226,37.783,30
core-100x200,view.all.wall,ms,4.197874999998021,3.5386670000007143,-15.703373730699877,6.840208000001439,13.591375000003609,30
core-100x200,view.all.cpu,ms,3.61,2.962,-17.95013850415512,4.001,4.24,30
core-100x200,view.active.wall,ms,3.6288750000021537,1.1337500000008731,-68.75753504873549,4.592584000005445,1.9761660000003758,30
core-100x200,view.active.cpu,ms,3.33,1.121,-66.33633633633633,3.687,1.434,30
core-100x200,view.one.wall,ms,0.15254200000345008,0.15516600000410108,1.7201819830549248,0.49091699999553384,0.31595799999922747,30
core-100x200,view.one.cpu,ms,0.162,0.157,-3.0864197530864224,0.314,0.243,30
core-100x200,core.quietStep.wall,ms,4.187416000000667,4.041166999995767,-3.4925834931345934,5.6774160000059055,6.156875000000582,30
core-100x200,core.quietStep.cpu,ms,3.914,3.901,-0.33214103219213476,4.428,4.452,30
